B(m),S(m),Tipo de Roca,Densidad de mineral (t/m3),Diametro (pulgadas),Altura de banco (m),Retacado (m),Sobreperforacion (m),Densidad explosivo (tn/m3),Kg. Explosivo ,Factor de potencia (kg/tn),P80 (%),P50 (%),P20 (%),Desplazamiento (m),Direccion
9.3,10.7,4,2.45,10.625,15,6.5,2,1.3,709,194,83.4,47.2,12.3,3.82,96.8
9.3,10.7,4,2.45,10.625,15,6.5,2,1.3,709,194,91.8,51,12.81,3.82,96.8
9.3,10.7,3,2.35,10.625,15,6.5,2,1.3,709,202,86.3,47.9,9.34,4.02,98.2
9.3,10.7,3,2.35,10.625,15,6.5,2,1.3,709,202,88.3,47.9,9.76,4.01,98.2
9.3,10.7,4,2.48,10.625,15,6.5,2,1.3,709,194,80.5,44.3,7.9,3.92,96.8
8,8,5,2.45,10.625,15,7,2,1.3,436,196,74.1,39.9,4.21,3.83,96.8
8.8,10.2,4,2.45,10.625,15,6,2,1.3,743,225,70.3,38.6,7.61,4.21,109.2
8.8,10.2,4,2.45,10.625,15,6,2,1.3,743,225,75.6,40.7,8.04,4.2,109.2
9,12,4,2.45,10.625,15,6,2,1.3,743,187,63.4,37.8,6.7,3.83,95.6
9,12,4,2.45,10.625,15,6,2,1.3,743,187,80.6,45.6,8.28,3.83,95.6
9,12,3,2.45,10.625,15,6,2,1.3,743,195,94.4,51.6,14.08,3.83,95.6
9,12,4,2.45,10.625,15,6,2,1.3,743,187,76.6,45.7,11.89,3.75,95.6
9,12,4,2.45,10.625,15,6,2,1.3,743,187,86,51,13.42,3.75,95.6
9,12,4,2.45,10.625,15,6,2,1.3,743,187,82.3,47.8,11.5,3.75,95.6
9,12,4,2.45,10.625,15,6,2,1.3,743,187,66.2,39.5,8.35,3.75,95.6
9,12,4,2.45,10.625,15,6,2,1.3,743,187,87.3,49.1,7.8,3.75,95.6
9,12,3,2.35,10.625,15,6,2,1.3,743,195,71.6,42.2,5.97,3.8,98.2
9,12,3,2.35,10.625,15,6,2,1.3,743,195,72.3,41.5,4.74,3.8,98.2
10,13,4,2.45,10.625,15,6,2,1.3,743,155,61.9,37.4,7.07,3.51,98.2
10,13,3,2.35,10.625,15,6,2,1.3,743,162,60.9,36.8,6.54,3.54,98.2
10,13,4,2.35,10.625,15,6,2,1.3,743,155,69.5,40.3,5.66,3.5,98.2
10,13,4,2.45,10.625,15,6,2,1.3,743,155,84,48.1,8.19,3.5,98.2
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,260.5,135.9,43.6,4.91,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,225.9,119.8,37.3,4.91,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,237.6,131.6,42.3,4.91,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,222.9,118.1,36.8,4.91,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,232.1,128.8,41.3,4.91,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,216.2,119,37.3,4.91,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,236.3,121.3,42.3,4.91,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,161,85.1,36.8,4.91,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,218.8,127.6,41.3,4.91,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,218.5,119.5,37.8,4.91,122.4
7,8,5,2.48,10.625,15,7.5,2,1.22,663,318,184.4,99.8,38.5,4.94,122.4
7,8,6,2.57,10.625,15,7.5,2,1.22,663,307,180,103.2,31.6,4.81,122.4
8.8,10.2,5,2.48,10.625,15,6,2,1.22,768,230,276.6,152.6,54.6,4.21,116.3
8.8,10.2,6,2.57,10.625,15,6,2,1.22,768,222,234.2,122.9,42.8,4.23,116.3
8.8,10.2,6,2.57,10.625,15,6,2,1.22,768,222,178.2,79.8,26.1,4.2,116.3
6,7,6,2.57,10.625,15,6,2,1.22,719,444,194.8,141.7,24.1,5.64,159.4
6,7,5,2.48,10.625,15,6.7,2,1.22,719,460,140.8,91.8,21.1,5.8,159.4
6,7,5,2.48,10.625,15,6.7,2,1.22,719,460,272.9,179.3,24.1,5.8,159.4
6,7,5,2.48,10.625,15,6.7,2,1.22,719,460,192.1,199,24.7,5.8,159.4
6,7,6,2.47,10.625,15,6.7,2,1.22,719,444,314.7,179.2,62.4,5.6,150.2
6,7,6,2.57,10.625,15,6.7,2,1.22,719,444,348,108.7,60.3,5.64,150.2
6,7,6,2.57,10.625,15,6.7,2,1.22,719,444,322.1,152,51.6,5.6,150.2
6,7,6,2.57,10.625,15,6.7,2,1.22,719,444,220.9,127.6,31.4,5.63,150.2
6,7,6,2.57,10.625,15,6.7,2,1.22,719,444,288.8,108.7,36.1,5.61,150.2
6,7,6,2.57,10.625,15,6.7,2,1.22,719,444,241.2,152.1,38.5,5.6,150.2
